Month,Price,Change
Sep-98,0.43,-
Oct-98,0.44,1.40%
Nov-98,0.37,-14.48%
Dec-98,0.31,-17.47%
Jan-99,0.34,11.73%
Feb-99,0.32,-7.58%
Mar-99,0.42,33.44%
Apr-99,0.5,18.44%
May-99,0.49,-1.80%
Jun-99,0.49,-0.61%
Jul-99,0.58,19.22%
Aug-99,0.64,9.61%
Sep-99,0.69,7.67%
Oct-99,0.63,-8.87%
Nov-99,0.7,11.00%
Dec-99,0.7,1.01%
Jan-00,0.71,0.28%
Feb-00,0.82,15.74%
Mar-00,0.89,8.95%
Apr-00,0.73,-18.00%
May-00,0.89,21.81%
Jun-00,0.96,8.45%
Jul-00,0.86,-10.80%
Aug-00,0.87,1.51%
Sep-00,0.96,10.21%
Oct-00,0.95,-1.35%
Nov-00,0.94,-0.42%
Dec-00,0.74,-21.93%
Jan-01,0.83,12.48%
Feb-01,0.83,-0.36%
Mar-01,0.79,-4.96%
Apr-01,0.95,20.64%
May-01,0.93,-2.11%
Jun-01,0.72,-22.33%
Jul-01,0.68,-5.14%
Aug-01,0.78,13.62%
Sep-01,0.76,-1.93%
Oct-01,0.6,-21.42%
Nov-01,0.52,-13.55%
Dec-01,0.52,0.00%
Jan-02,0.54,5.22%
Feb-02,0.55,1.65%
Mar-02,0.7,26.22%
Apr-02,0.74,6.59%
May-02,0.7,-5.51%
Jun-02,0.72,1.99%
Jul-02,0.77,6.83%
Aug-02,0.77,0.39%
Sep-02,0.78,1.17%
Oct-02,0.83,6.17%
Nov-02,0.77,-7.26%
Dec-02,0.81,5.48%
Jan-03,0.88,8.79%
Feb-03,1,13.31%
Mar-03,0.96,-4.12%
Apr-03,0.8,-16.34%
May-03,0.76,-4.88%
Jun-03,0.81,6.32%
Jul-03,0.87,8.04%
Aug-03,1.01,15.35%
Sep-03,0.9,-10.33%
Oct-03,0.88,-3.10%
Nov-03,0.88,0.80%
Dec-03,0.89,0.34%
Jan-04,1,12.77%
Feb-04,1.05,4.91%
Mar-04,1.09,4.20%
Apr-04,1.12,2.57%
May-04,1.34,20.11%
Jun-04,1.15,-14.21%
Jul-04,1.23,6.24%
Aug-04,1.21,-1.55%
Sep-04,1.26,4.56%
Oct-04,1.38,9.20%
Nov-04,1.27,-7.99%
Dec-04,1.07,-15.71%
Jan-05,1.24,16.20%
Feb-05,1.22,-1.37%
Mar-05,1.44,17.57%
Apr-05,1.48,2.85%
May-05,1.37,-7.36%
Jun-05,1.51,10.07%
Jul-05,1.59,5.43%
Aug-05,1.94,21.75%
Sep-05,2.13,10.12%
Oct-05,1.71,-19.88%
Nov-05,1.47,-13.98%
Dec-05,1.6,8.84%
Jan-06,1.74,8.44%
Feb-06,1.5,-13.60%
Mar-06,1.77,17.75%
Apr-06,2.14,20.96%
May-06,2.04,-4.36%
Jun-06,2.07,1.13%
Jul-06,2.24,8.33%
Aug-06,2.04,-8.90%
Sep-06,1.58,-22.33%
Oct-06,1.51,-4.86%
Nov-06,1.59,5.44%
Dec-06,1.67,5.16%
Jan-07,1.43,-14.25%
Feb-07,1.64,14.53%
Mar-07,1.94,18.17%
Apr-07,2.11,8.62%
May-07,2.25,6.65%
Jun-07,2.19,-2.63%
Jul-07,2.14,-2.24%
Aug-07,2,-6.22%
